Date,Time_Hour,Week_Day,Month,Passengers,Transport_Type,Route_Line,Origin_Start_Location,Destination_End_Location,Occupancy_Rate
2024-01-04,17,Thursday,January,568,Metro,M3,Central Station,University Campus,0.71
2024-01-04,18,Thursday,January,48,Bus,B106,Tech Park,Airport Hub,0.96
2024-01-04,19,Thursday,January,797,Metro,M2,University Campus,Airport Hub,0.996
2024-01-04,20,Thursday,January,10,Bus,B103,Tech Park,Suburban Terminal,0.2
2024-01-04,21,Thursday,January,17,Bus,B101,Museum Plaza,Financial District,0.34
2024-01-04,22,Thursday,January,50,Train,T51,Suburban Terminal,Museum Plaza,0.111
2024-01-04,23,Thursday,January,35,Train,T52,Tech Park,Central Station,0.078
2024-01-05,0,Friday,January,14,Bus,B104,Financial District,Museum Plaza,0.28
2024-01-05,1,Friday,January,1,Bus,B104,Financial District,Central Station,0.02
2024-01-05,2,Friday,January,4,Bus,B101,Airport Hub,Central Station,0.08
2024-01-05,3,Friday,January,5,Bus,B101,Financial District,Tech Park,0.1
2024-01-05,4,Friday,January,66,Metro,M2,University Campus,Financial District,0.082
2024-01-05,5,Friday,January,14,Bus,B102,Financial District,Museum Plaza,0.28
2024-01-05,6,Friday,January,37,Bus,B102,Central Station,Airport Hub,0.74
2024-01-05,7,Friday,January,50,Bus,B101,Museum Plaza,Financial District,1.0
2024-01-05,8,Friday,January,64,Bus,B104,Airport Hub,Central Station,1.0
2024-01-05,9,Friday,January,46,Bus,B104,Central Station,Museum Plaza,0.92
2024-01-05,10,Friday,January,303,Metro,M3,Suburban Terminal,University Campus,0.379
2024-01-05,11,Friday,January,263,Train,T50,Central Station,Tech Park,0.584
2024-01-05,12,Friday,January,32,Bus,B103,University Campus,Museum Plaza,0.64
2024-01-05,13,Friday,January,24,Bus,B102,Tech Park,University Campus,0.48
2024-01-05,14,Friday,January,334,Metro,M2,Airport Hub,Museum Plaza,0.418
2024-01-05,15,Friday,January,290,Metro,M1,University Campus,Financial District,0.362
2024-01-05,16,Friday,January,396,Train,T50,Airport Hub,Central Station,0.88
2024-01-05,17,Friday,January,52,Bus,B104,Airport Hub,Central Station,1.0
2024-01-05,18,Friday,January,56,Bus,B102,Museum Plaza,University Campus,1.0
2024-01-05,19,Friday,January,714,Metro,M2,Financial District,Tech Park,0.892
2024-01-05,20,Friday,January,4,Bus,B105,Financial District,Airport Hub,0.08
2024-01-05,21,Friday,January,22,Bus,B102,Central Station,Tech Park,0.44
2024-01-05,22,Friday,January,6,Bus,B103,Airport Hub,Museum Plaza,0.12
2024-01-05,23,Friday,January,12,Bus,B103,Tech Park,Museum Plaza,0.24
2024-01-06,0,Saturday,January,495,Metro,M2,Suburban Terminal,University Campus,0.619
2024-01-06,1,Saturday,January,18,Bus,B102,Tech Park,Central Station,0.36
2024-01-06,2,Saturday,January,361,Metro,M3,Central Station,University Campus,0.451
2024-01-06,3,Saturday,January,6,Bus,B103,Airport Hub,Central Station,0.12
2024-01-06,4,Saturday,January,20,Bus,B103,Museum Plaza,Financial District,0.4
2024-01-06,5,Saturday,January,21,Bus,B103,Central Station,Suburban Terminal,0.42
2024-01-06,6,Saturday,January,472,Metro,M2,Central Station,Airport Hub,0.59
2024-01-06,7,Saturday,January,28,Bus,B106,Financial District,Tech Park,0.56
2024-01-06,8,Saturday,January,97,Tram,R11,Airport Hub,University Campus,0.647
2024-01-06,9,Saturday,January,398,Metro,M1,Financial District,Suburban Terminal,0.498
2024-01-06,10,Saturday,January,223,Metro,M3,Museum Plaza,Central Station,0.279
2024-01-06,11,Saturday,January,272,Metro,M3,Tech Park,Suburban Terminal,0.34
2024-01-06,12,Saturday,January,21,Bus,B104,Central Station,Financial District,0.42
2024-01-06,13,Saturday,January,13,Bus,B101,Central Station,Tech Park,0.26
2024-01-06,14,Saturday,January,167,Train,T52,University Campus,Tech Park,0.371
2024-01-06,15,Saturday,January,80,Train,T50,Central Station,Suburban Terminal,0.178
2024-01-06,16,Saturday,January,415,Metro,M2,Tech Park,Suburban Terminal,0.519
2024-01-06,17,Saturday,January,101,Train,T51,Financial District,Museum Plaza,0.224
2024-01-06,18,Saturday,January,377,Metro,M1,Tech Park,Financial District,0.471
2024-01-06,19,Saturday,January,341,Metro,M2,Airport Hub,Tech Park,0.426
2024-01-06,20,Saturday,January,23,Bus,B105,Airport Hub,University Campus,0.46
2024-01-06,21,Saturday,January,3,Bus,B101,Central Station,Suburban Terminal,0.06
2024-01-06,22,Saturday,January,84,Tram,R11,Central Station,Suburban Terminal,0.56
2024-01-06,23,Saturday,January,16,Bus,B101,Suburban Terminal,University Campus,0.32
2024-01-07,0,Sunday,January,34,Bus,B106,Tech Park,Suburban Terminal,0.68
2024-01-07,1,Sunday,January,71,Tram,R13,University Campus,Suburban Terminal,0.473
2024-01-07,2,Sunday,January,112,Train,T52,Museum Plaza,Central Station,0.249
2024-01-07,3,Sunday,January,22,Bus,B102,Tech Park,Financial District,0.44
2024-01-07,4,Sunday,January,24,Bus,B106,Financial District,Central Station,0.48
2024-01-07,5,Sunday,January,143,Metro,M1,Suburban Terminal,Airport Hub,0.179
2024-01-07,6,Sunday,January,476,Metro,M3,Central Station,Airport Hub,0.595
2024-01-07,7,Sunday,January,197,Metro,M1,Tech Park,Financial District,0.246
2024-01-07,8,Sunday,January,395,Metro,M3,University Campus,Tech Park,0.494
2024-01-07,9,Sunday,January,345,Train,T51,Airport Hub,Central Station,0.767
2024-01-07,10,Sunday,January,193,Train,T52,Suburban Terminal,Museum Plaza,0.429
2024-01-07,11,Sunday,January,24,Bus,B104,Museum Plaza,Suburban Terminal,0.48
2024-01-07,12,Sunday,January,459,Metro,M2,Airport Hub,Financial District,0.574
2024-01-07,13,Sunday,January,394,Metro,M2,Museum Plaza,Tech Park,0.492
2024-01-07,14,Sunday,January,27,Bus,B102,Airport Hub,Suburban Terminal,0.54
2024-01-07,15,Sunday,January,250,Metro,M1,Suburban Terminal,University Campus,0.312
2024-01-07,16,Sunday,January,9,Bus,B105,Suburban Terminal,Museum Plaza,0.18
2024-01-07,17,Sunday,January,204,Metro,M2,University Campus,Museum Plaza,0.255
2024-01-07,18,Sunday,January,28,Bus,B106,Museum Plaza,Airport Hub,0.56
2024-01-07,19,Sunday,January,10,Bus,B102,Museum Plaza,Tech Park,0.2
2024-01-07,20,Sunday,January,33,Bus,B105,Tech Park,University Campus,0.66
2024-01-07,21,Sunday,January,358,Metro,M1,Suburban Terminal,University Campus,0.448
2024-01-07,22,Sunday,January,31,Bus,B106,Tech Park,Museum Plaza,0.62
2024-01-07,23,Sunday,January,363,Metro,M1,University Campus,Museum Plaza,0.454
2024-01-08,0,Monday,January,213,Train,T51,Central Station,Financial District,0.473
2024-01-08,1,Monday,January,8,Bus,B103,Financial District,University Campus,0.16
2024-01-08,2,Monday,January,9,Bus,B105,Financial District,Tech Park,0.18
2024-01-08,3,Monday,January,127,Metro,M3,Financial District,Suburban Terminal,0.159
2024-01-08,4,Monday,January,318,Metro,M1,Museum Plaza,Airport Hub,0.398
2024-01-08,5,Monday,January,3,Bus,B103,Suburban Terminal,University Campus,0.06
2024-01-08,6,Monday,January,49,Bus,B106,Tech Park,Airport Hub,0.98
2024-01-08,7,Monday,January,52,Bus,B104,Museum Plaza,Airport Hub,1.0
2024-01-08,8,Monday,January,28,Bus,B104,Central Station,Museum Plaza,0.56
2024-01-08,9,Monday,January,130,Tram,R12,Central Station,Financial District,0.867
2024-01-08,10,Monday,January,43,Bus,B105,Central Station,Airport Hub,0.86
2024-01-08,11,Monday,January,653,Metro,M1,Financial District,Tech Park,0.816
2024-01-08,12,Monday,January,486,Metro,M2,Tech Park,Museum Plaza,0.608
2024-01-08,13,Monday,January,546,Metro,M2,Financial District,Central Station,0.682
2024-01-08,14,Monday,January,404,Metro,M1,Museum Plaza,University Campus,0.505
2024-01-08,15,Monday,January,193,Metro,M2,Museum Plaza,University Campus,0.241
2024-01-08,16,Monday,January,47,Bus,B106,Tech Park,Airport Hub,0.94
2024-01-08,17,Monday,January,778,Metro,M2,Airport Hub,Suburban Terminal,0.972
2024-01-08,18,Monday,January,439,Train,T51,Tech Park,Suburban Terminal,0.976
2024-01-08,19,Monday,January,293,Train,T50,Airport Hub,Central Station,0.651
2024-01-08,20,Monday,January,40,Tram,R13,Suburban Terminal,Museum Plaza,0.267
2024-01-08,21,Monday,January,556,Metro,M1,Museum Plaza,Tech Park,0.695
2024-01-08,22,Monday,January,18,Bus,B106,Suburban Terminal,Central Station,0.36
2024-01-08,23,Monday,January,18,Bus,B102,Tech Park,University Campus,0.36
2024-01-09,0,Tuesday,January,126,Train,T50,Museum Plaza,University Campus,0.28
2024-01-09,1,Tuesday,January,33,Metro,M3,University Campus,Airport Hub,0.041
2024-01-09,2,Tuesday,January,8,Bus,B101,Central Station,Museum Plaza,0.16
2024-01-09,3,Tuesday,January,10,Bus,B102,Financial District,Airport Hub,0.2
2024-01-09,4,Tuesday,January,176,Train,T51,Tech Park,Financial District,0.391
2024-01-09,5,Tuesday,January,18,Bus,B106,Financial District,Tech Park,0.36
2024-01-09,6,Tuesday,January,32,Bus,B101,Tech Park,University Campus,0.64
2024-01-09,7,Tuesday,January,61,Bus,B101,Suburban Terminal,University Campus,1.0
2024-01-09,8,Tuesday,January,700,Metro,M2,University Campus,Museum Plaza,0.875
2024-01-09,9,Tuesday,January,55,Bus,B104,Tech Park,Suburban Terminal,1.0
2024-01-09,10,Tuesday,January,47,Bus,B104,Museum Plaza,Airport Hub,0.94
2024-01-09,11,Tuesday,January,108,Tram,R11,Airport Hub,Suburban Terminal,0.72
2024-01-09,12,Tuesday,January,24,Bus,B105,Airport Hub,Tech Park,0.48
2024-01-09,13,Tuesday,January,40,Bus,B106,Airport Hub,Financial District,0.8
2024-01-09,14,Tuesday,January,379,Metro,M1,Suburban Terminal,Financial District,0.474
2024-01-09,15,Tuesday,January,31,Bus,B103,Central Station,University Campus,0.62
2024-01-09,16,Tuesday,January,120,Tram,R13,Airport Hub,Suburban Terminal,0.8
2024-01-09,17,Tuesday,January,599,Metro,M2,University Campus,Airport Hub,0.749
2024-01-09,18,Tuesday,January,48,Bus,B105,Central Station,University Campus,0.96
2024-01-09,19,Tuesday,January,718,Metro,M2,Airport Hub,Financial District,0.898
2024-01-09,20,Tuesday,January,8,Bus,B102,University Campus,Museum Plaza,0.16
2024-01-09,21,Tuesday,January,9,Bus,B101,Suburban Terminal,Financial District,0.18
2024-01-09,22,Tuesday,January,16,Bus,B106,Airport Hub,University Campus,0.32
2024-01-09,23,Tuesday,January,12,Bus,B103,University Campus,Financial District,0.24
2024-01-10,0,Wednesday,January,20,Bus,B101,University Campus,Central Station,0.4
2024-01-10,1,Wednesday,January,12,Bus,B101,Central Station,Suburban Terminal,0.24
2024-01-10,2,Wednesday,January,24,Bus,B105,Central Station,Tech Park,0.48
2024-01-10,3,Wednesday,January,475,Metro,M3,Financial District,Airport Hub,0.594
2024-01-10,4,Wednesday,January,233,Metro,M3,Airport Hub,Central Station,0.291
2024-01-10,5,Wednesday,January,204,Metro,M3,Museum Plaza,Suburban Terminal,0.255
2024-01-10,6,Wednesday,January,627,Metro,M2,Airport Hub,Financial District,0.784
2024-01-10,7,Wednesday,January,758,Metro,M1,Tech Park,University Campus,0.948
2024-01-10,8,Wednesday,January,44,Bus,B101,Central Station,Airport Hub,0.88
2024-01-10,9,Wednesday,January,55,Bus,B106,Museum Plaza,Financial District,1.0
2024-01-10,10,Wednesday,January,73,Tram,R12,Tech Park,Financial District,0.487
2024-01-10,11,Wednesday,January,375,Train,T51,Tech Park,Airport Hub,0.833
2024-01-10,12,Wednesday,January,33,Bus,B101,Tech Park,Airport Hub,0.66
2024-01-10,13,Wednesday,January,22,Bus,B104,Tech Park,Airport Hub,0.44
2024-01-10,14,Wednesday,January,124,Tram,R13,Tech Park,Central Station,0.827
2024-01-10,15,Wednesday,January,24,Bus,B102,Museum Plaza,Central Station,0.48
2024-01-10,16,Wednesday,January,56,Bus,B102,Central Station,Airport Hub,1.0
2024-01-10,17,Wednesday,January,44,Bus,B105,University Campus,Museum Plaza,0.88
2024-01-10,18,Wednesday,January,657,Metro,M2,University Campus,Airport Hub,0.821
2024-01-10,19,Wednesday,January,863,Metro,M1,Central Station,Airport Hub,1.0
2024-01-10,20,Wednesday,January,178,Metro,M1,Financial District,Central Station,0.222
2024-01-10,21,Wednesday,January,165,Metro,M2,Tech Park,Central Station,0.206
2024-01-10,22,Wednesday,January,283,Metro,M1,Tech Park,Suburban Terminal,0.354
2024-01-10,23,Wednesday,January,319,Metro,M3,Financial District,Airport Hub,0.399
2024-01-11,0,Thursday,January,7,Bus,B104,University Campus,Museum Plaza,0.14
2024-01-11,1,Thursday,January,0,Bus,B101,Tech Park,Central Station,0.0
2024-01-11,2,Thursday,January,158,Train,T52,Tech Park,Museum Plaza,0.351
2024-01-11,3,Thursday,January,139,Metro,M1,Suburban Terminal,Museum Plaza,0.174
2024-01-11,4,Thursday,January,9,Bus,B106,Suburban Terminal,Airport Hub,0.18
2024-01-11,5,Thursday,January,10,Bus,B105,Central Station,Financial District,0.2
2024-01-11,6,Thursday,January,41,Bus,B102,Museum Plaza,Airport Hub,0.82
2024-01-11,7,Thursday,January,26,Bus,B102,Tech Park,Financial District,0.52
2024-01-11,8,Thursday,January,881,Metro,M2,Airport Hub,Museum Plaza,1.0
2024-01-11,9,Thursday,January,736,Metro,M2,Suburban Terminal,University Campus,0.92
2024-01-11,10,Thursday,January,110,Tram,R12,University Campus,Suburban Terminal,0.733
2024-01-11,11,Thursday,January,441,Metro,M1,Suburban Terminal,Airport Hub,0.551
2024-01-11,12,Thursday,January,280,Train,T50,University Campus,Central Station,0.622
2024-01-11,13,Thursday,January,245,Train,T52,Central Station,Suburban Terminal,0.544
2024-01-11,14,Thursday,January,29,Bus,B106,Airport Hub,Financial District,0.58
2024-01-11,15,Thursday,January,526,Metro,M2,Airport Hub,Museum Plaza,0.658
2024-01-11,16,Thursday,January,867,Metro,M2,Museum Plaza,University Campus,1.0
2024-01-11,17,Thursday,January,51,Bus,B106,Financial District,Central Station,1.0
2024-01-11,18,Thursday,January,52,Bus,B105,Museum Plaza,Suburban Terminal,1.0
2024-01-11,19,Thursday,January,34,Bus,B102,Airport Hub,Suburban Terminal,0.68
2024-01-11,20,Thursday,January,16,Bus,B101,Financial District,Airport Hub,0.32
2024-01-11,21,Thursday,January,266,Metro,M2,Tech Park,Museum Plaza,0.332
2024-01-11,22,Thursday,January,10,Bus,B104,Airport Hub,Museum Plaza,0.2
2024-01-11,23,Thursday,January,323,Metro,M3,Financial District,Suburban Terminal,0.404
2024-01-12,0,Friday,January,15,Bus,B105,Suburban Terminal,Museum Plaza,0.3
2024-01-12,1,Friday,January,159,Metro,M3,Tech Park,Central Station,0.199
2024-01-12,2,Friday,January,68,Train,T52,Tech Park,Suburban Terminal,0.151
2024-01-12,3,Friday,January,13,Bus,B103,Airport Hub,Financial District,0.26
2024-01-12,4,Friday,January,383,Metro,M1,Central Station,Financial District,0.479
2024-01-12,5,Friday,January,143,Train,T52,Central Station,Suburban Terminal,0.318
2024-01-12,6,Friday,January,809,Metro,M3,Airport Hub,Museum Plaza,1.0
2024-01-12,7,Friday,January,761,Metro,M3,Museum Plaza,Tech Park,0.951
2024-01-12,8,Friday,January,33,Bus,B101,University Campus,Financial District,0.66
2024-01-12,9,Friday,January,871,Metro,M1,Suburban Terminal,Airport Hub,1.0
2024-01-12,10,Friday,January,477,Metro,M3,University Campus,Suburban Terminal,0.596
2024-01-12,11,Friday,January,31,Bus,B104,Financial District,Suburban Terminal,0.62
2024-01-12,12,Friday,January,48,Bus,B104,Tech Park,Central Station,0.96
2024-01-12,13,Friday,January,111,Tram,R13,Museum Plaza,Tech Park,0.74
2024-01-12,14,Friday,January,588,Metro,M3,Central Station,Tech Park,0.735
2024-01-12,15,Friday,January,35,Bus,B105,Financial District,Central Station,0.7
2024-01-12,16,Friday,January,798,Metro,M3,Tech Park,Financial District,0.998
2024-01-12,17,Friday,January,931,Metro,M2,Central Station,Suburban Terminal,1.0
2024-01-12,18,Friday,January,50,Bus,B104,Museum Plaza,Financial District,1.0
2024-01-12,19,Friday,January,809,Metro,M2,Airport Hub,Financial District,1.0
2024-01-12,20,Friday,January,353,Train,T51,Financial District,Tech Park,0.784
2024-01-12,21,Friday,January,23,Bus,B102,Tech Park,Airport Hub,0.46
2024-01-12,22,Friday,January,210,Metro,M1,Suburban Terminal,Financial District,0.262
2024-01-12,23,Friday,January,14,Bus,B102,Central Station,Suburban Terminal,0.28
2024-01-13,0,Saturday,January,547,Metro,M2,Airport Hub,Central Station,0.684
2024-01-13,1,Saturday,January,343,Metro,M1,Financial District,Central Station,0.429
2024-01-13,2,Saturday,January,11,Bus,B103,Financial District,Suburban Terminal,0.22
2024-01-13,3,Saturday,January,28,Bus,B103,Financial District,Museum Plaza,0.56
2024-01-13,4,Saturday,January,350,Metro,M3,Central Station,University Campus,0.438
2024-01-13,5,Saturday,January,15,Bus,B102,Tech Park,University Campus,0.3
2024-01-13,6,Saturday,January,347,Metro,M2,Suburban Terminal,University Campus,0.434
2024-01-13,7,Saturday,January,229,Train,T51,Tech Park,Financial District,0.509
2024-01-13,8,Saturday,January,371,Metro,M3,Airport Hub,Suburban Terminal,0.464
2024-01-13,9,Saturday,January,19,Bus,B103,Museum Plaza,Airport Hub,0.38
2024-01-13,10,Saturday,January,22,Bus,B105,Financial District,Airport Hub,0.44
2024-01-13,11,Saturday,January,27,Bus,B102,Airport Hub,University Campus,0.54
2024-01-13,12,Saturday,January,32,Bus,B104,Airport Hub,University Campus,0.64
2024-01-13,13,Saturday,January,17,Bus,B101,Museum Plaza,Suburban Terminal,0.34
2024-01-13,14,Saturday,January,223,Train,T51,Tech Park,Airport Hub,0.496
2024-01-13,15,Saturday,January,0,Metro,M2,Tech Park,University Campus,0.0
2024-01-13,16,Saturday,January,470,Metro,M3,Financial District,Suburban Terminal,0.588
2024-01-13,17,Saturday,January,16,Bus,B106,University Campus,Financial District,0.32
2024-01-13,18,Saturday,January,136,Train,T52,Museum Plaza,University Campus,0.302
2024-01-13,19,Saturday,January,29,Bus,B104,University Campus,Airport Hub,0.58
2024-01-13,20,Saturday,January,365,Metro,M3,Suburban Terminal,Airport Hub,0.456
2024-01-13,21,Saturday,January,22,Bus,B105,Museum Plaza,Tech Park,0.44
2024-01-13,22,Saturday,January,21,Bus,B104,Tech Park,Airport Hub,0.42
2024-01-13,23,Saturday,January,468,Metro,M1,Central Station,Suburban Terminal,0.585
2024-01-14,0,Sunday,January,26,Bus,B104,Financial District,Tech Park,0.52
2024-01-14,1,Sunday,January,14,Bus,B102,Tech Park,University Campus,0.28
2024-01-14,2,Sunday,January,62,Tram,R12,University Campus,Suburban Terminal,0.413
2024-01-14,3,Sunday,January,10,Bus,B105,Tech Park,Museum Plaza,0.2
2024-01-14,4,Sunday,January,11,Tram,R13,Airport Hub,Central Station,0.073
2024-01-14,5,Sunday,January,310,Train,T51,Tech Park,Central Station,0.689
2024-01-14,6,Sunday,January,23,Bus,B102,Museum Plaza,Tech Park,0.46
2024-01-14,7,Sunday,January,15,Bus,B101,Museum Plaza,University Campus,0.3
2024-01-14,8,Sunday,January,20,Bus,B106,Tech Park,Suburban Terminal,0.4
2024-01-14,9,Sunday,January,17,Bus,B105,Financial District,Tech Park,0.34
2024-01-14,10,Sunday,January,165,Train,T50,Suburban Terminal,Financial District,0.367
2024-01-14,11,Sunday,January,328,Train,T51,Financial District,Suburban Terminal,0.729
2024-01-14,12,Sunday,January,237,Metro,M3,Museum Plaza,Financial District,0.296
2024-01-14,13,Sunday,January,48,Tram,R12,Airport Hub,Suburban Terminal,0.32
2024-01-14,14,Sunday,January,49,Tram,R12,Museum Plaza,University Campus,0.327
2024-01-14,15,Sunday,January,10,Bus,B101,Central Station,Airport Hub,0.2
2024-01-14,16,Sunday,January,14,Bus,B105,University Campus,Financial District,0.28
2024-01-14,17,Sunday,January,15,Bus,B102,Financial District,Suburban Terminal,0.3
2024-01-14,18,Sunday,January,37,Bus,B106,Airport Hub,Central Station,0.74
