Date,Time_Hour,Week_Day,Month,Passengers,Transport_Type,Route_Line,Origin_Start_Location,Destination_End_Location,Occupancy_Rate
2024-10-08,6,Tuesday,October,55,Bus,X9,Hackescher Markt,Warschauer Straße,0.917
2025-02-10,5,Monday,February,99,Tram,M5,Kottbusser Tor,Warschauer Straße,0.55
2024-02-29,18,Thursday,February,76,Bus,M29,Ostkreuz,Alexanderplatz,0.95
2025-08-07,22,Thursday,August,41,Bus,M29,Hackescher Markt,Alexanderplatz,0.512
2024-12-24,14,Tuesday,December,36,Bus,M29,Airport BER,Leopoldplatz,0.45
2025-03-30,22,Sunday,March,320,Metro,U1,Hackescher Markt,Airport BER,0.533
2024-07-05,22,Friday,July,501,Train,S7,Kottbusser Tor,Warschauer Straße,0.501
2024-01-31,20,Wednesday,January,180,Metro,U7,Ostkreuz,Kottbusser Tor,0.3
2025-06-13,12,Friday,June,639,Train,S5,Zoologischer Garten,Warschauer Straße,0.639
2025-02-24,10,Monday,February,30,Bus,X9,Potsdamer Platz,Leopoldplatz,0.5
2025-02-25,21,Tuesday,February,379,Metro,U1,Kottbusser Tor,Warschauer Straße,0.632
2025-01-23,21,Thursday,January,38,Bus,100,Warschauer Straße,Leopoldplatz,0.76
2025-09-19,11,Friday,September,23,Bus,100,Alexanderplatz,Berlin Hauptbahnhof,0.46
2025-05-07,13,Wednesday,May,31,Bus,100,Zoologischer Garten,Kottbusser Tor,0.62
2025-08-31,6,Sunday,August,41,Bus,M29,Airport BER,Leopoldplatz,0.512
2024-05-06,12,Monday,May,352,Metro,U1,Leopoldplatz,Potsdamer Platz,0.587
2025-08-28,17,Thursday,August,600,Metro,U1,Alexanderplatz,Potsdamer Platz,1.0
2024-07-18,21,Thursday,July,483,Train,S5,Warschauer Straße,Berlin Hauptbahnhof,0.483
2025-05-14,13,Wednesday,May,355,Train,S5,Friedrichstraße,Alexanderplatz,0.355
2025-10-30,15,Thursday,October,27,Bus,100,Ostkreuz,Zoologischer Garten,0.54
2024-07-23,9,Tuesday,July,549,Metro,U1,Hackescher Markt,Potsdamer Platz,0.915
2025-06-22,21,Sunday,June,252,Train,S41,Leopoldplatz,Südkreuz,0.252
2025-11-15,9,Saturday,November,102,Tram,M5,Friedrichstraße,Hackescher Markt,0.567
2024-07-09,18,Tuesday,July,144,Tram,M5,Südkreuz,Alexanderplatz,0.8
2025-08-05,5,Tuesday,August,53,Bus,M29,Warschauer Straße,Zoologischer Garten,0.662
2024-11-27,6,Wednesday,November,571,Metro,U1,Hackescher Markt,Airport BER,0.952
2024-04-24,17,Wednesday,April,913,Train,S41,Leopoldplatz,Ostkreuz,0.913
2024-03-23,21,Saturday,March,190,Metro,U7,Ostkreuz,Airport BER,0.317
2024-09-27,15,Friday,September,51,Bus,M29,Berlin Hauptbahnhof,Alexanderplatz,0.638
2025-09-03,8,Wednesday,September,139,Tram,M5,Airport BER,Berlin Hauptbahnhof,0.772
2023-12-29,9,Friday,December,49,Bus,100,Kottbusser Tor,Warschauer Straße,0.98
2025-10-15,9,Wednesday,October,983,Train,S7,Berlin Hauptbahnhof,Airport BER,0.983
2025-06-05,18,Thursday,June,863,Train,S7,Kottbusser Tor,Ostkreuz,0.863
2024-06-08,17,Saturday,June,353,Metro,U8,Leopoldplatz,Airport BER,0.588
2024-06-22,13,Saturday,June,7,Bus,X9,Airport BER,Hackescher Markt,0.117
2024-02-12,5,Monday,February,41,Bus,M29,Kottbusser Tor,Friedrichstraße,0.512
2025-04-16,13,Wednesday,April,324,Metro,U7,Kottbusser Tor,Berlin Hauptbahnhof,0.54
2025-05-23,18,Friday,May,142,Tram,M5,Airport BER,Ostkreuz,0.789
2025-04-16,13,Wednesday,April,232,Metro,U2,Leopoldplatz,Südkreuz,0.387
2025-04-13,12,Sunday,April,287,Train,S7,Hackescher Markt,Leopoldplatz,0.287
2024-02-05,13,Monday,February,38,Bus,X9,Berlin Hauptbahnhof,Leopoldplatz,0.633
2024-05-21,21,Tuesday,May,25,Bus,100,Airport BER,Friedrichstraße,0.5
2025-10-07,9,Tuesday,October,37,Bus,100,Hackescher Markt,Warschauer Straße,0.74
2024-04-27,10,Saturday,April,445,Train,S5,Kottbusser Tor,Berlin Hauptbahnhof,0.445
2025-01-03,17,Friday,January,883,Train,S7,Airport BER,Warschauer Straße,0.883
2024-08-23,8,Friday,August,557,Metro,U7,Airport BER,Ostkreuz,0.928
2024-03-31,7,Sunday,March,94,Tram,M5,Kottbusser Tor,Leopoldplatz,0.522
2024-05-22,15,Wednesday,May,371,Metro,U1,Kottbusser Tor,Südkreuz,0.618
2025-03-24,12,Monday,March,297,Metro,U7,Hackescher Markt,Leopoldplatz,0.495
2025-03-12,7,Wednesday,March,861,Train,S41,Potsdamer Platz,Warschauer Straße,0.861
2025-03-11,5,Tuesday,March,587,Train,S7,Friedrichstraße,Berlin Hauptbahnhof,0.587
2025-07-10,21,Thursday,July,108,Tram,M5,Berlin Hauptbahnhof,Potsdamer Platz,0.6
2024-03-22,21,Friday,March,333,Metro,U8,Leopoldplatz,Warschauer Straße,0.555
2024-12-19,22,Thursday,December,112,Tram,M1,Zoologischer Garten,Ostkreuz,0.622
2025-02-22,9,Saturday,February,455,Train,S41,Leopoldplatz,Hackescher Markt,0.455
2025-08-21,17,Thursday,August,807,Train,S41,Südkreuz,Berlin Hauptbahnhof,0.807
2024-07-14,14,Sunday,July,180,Metro,U7,Hackescher Markt,Ostkreuz,0.3
2025-02-22,16,Saturday,February,34,Bus,M29,Südkreuz,Ostkreuz,0.425
2024-02-08,17,Thursday,February,153,Tram,M5,Airport BER,Potsdamer Platz,0.85
2025-11-06,13,Thursday,November,627,Train,S7,Airport BER,Berlin Hauptbahnhof,0.627
2025-08-17,19,Sunday,August,459,Train,S5,Südkreuz,Airport BER,0.459
2024-10-10,13,Thursday,October,186,Metro,U2,Hackescher Markt,Ostkreuz,0.31
2024-04-30,5,Tuesday,April,89,Tram,M1,Hackescher Markt,Alexanderplatz,0.494
2025-01-21,12,Tuesday,January,338,Metro,U2,Airport BER,Potsdamer Platz,0.563
2024-09-25,17,Wednesday,September,968,Train,S5,Potsdamer Platz,Leopoldplatz,0.968
2024-06-08,17,Saturday,June,495,Train,S5,Südkreuz,Alexanderplatz,0.495
2024-08-03,23,Saturday,August,64,Tram,M1,Zoologischer Garten,Leopoldplatz,0.356
2024-01-10,13,Wednesday,January,27,Bus,100,Hackescher Markt,Südkreuz,0.54
2025-08-06,13,Wednesday,August,84,Tram,M1,Airport BER,Friedrichstraße,0.467
2024-11-06,15,Wednesday,November,354,Metro,U8,Potsdamer Platz,Airport BER,0.59
2024-02-05,7,Monday,February,180,Tram,M1,Südkreuz,Kottbusser Tor,1.0
2025-04-19,23,Saturday,April,156,Metro,U8,Friedrichstraße,Südkreuz,0.26
2024-07-24,9,Wednesday,July,59,Bus,M29,Ostkreuz,Potsdamer Platz,0.738
2024-12-03,23,Tuesday,December,49,Bus,M29,Leopoldplatz,Friedrichstraße,0.612
2025-05-20,7,Tuesday,May,555,Metro,U8,Ostkreuz,Zoologischer Garten,0.925
2024-01-29,9,Monday,January,145,Tram,M5,Berlin Hauptbahnhof,Südkreuz,0.806
2025-02-07,18,Friday,February,557,Metro,U2,Kottbusser Tor,Südkreuz,0.928
2025-02-09,7,Sunday,February,661,Train,S5,Alexanderplatz,Ostkreuz,0.661
2025-01-20,23,Monday,January,543,Train,S7,Friedrichstraße,Airport BER,0.543
2025-07-24,10,Thursday,July,701,Train,S7,Friedrichstraße,Südkreuz,0.701
2025-01-28,9,Tuesday,January,438,Metro,U8,Südkreuz,Airport BER,0.73
2024-03-31,21,Sunday,March,119,Metro,U2,Airport BER,Leopoldplatz,0.198
2025-05-01,11,Thursday,May,348,Metro,U2,Berlin Hauptbahnhof,Kottbusser Tor,0.58
2025-07-11,17,Friday,July,556,Metro,U7,Berlin Hauptbahnhof,Leopoldplatz,0.927
2024-12-04,10,Wednesday,December,324,Metro,U8,Hackescher Markt,Ostkreuz,0.54
2024-01-15,22,Monday,January,506,Train,S41,Ostkreuz,Hackescher Markt,0.506
2024-11-25,17,Monday,November,531,Metro,U2,Alexanderplatz,Ostkreuz,0.885
2025-05-20,6,Tuesday,May,472,Metro,U1,Leopoldplatz,Potsdamer Platz,0.787
2024-03-02,5,Saturday,March,322,Metro,U8,Warschauer Straße,Alexanderplatz,0.537
2025-10-15,10,Wednesday,October,514,Train,S7,Leopoldplatz,Berlin Hauptbahnhof,0.514
2025-09-20,6,Saturday,September,295,Metro,U7,Leopoldplatz,Alexanderplatz,0.492
2025-11-14,22,Friday,November,22,Bus,100,Südkreuz,Warschauer Straße,0.44
2025-08-20,13,Wednesday,August,82,Tram,M1,Friedrichstraße,Alexanderplatz,0.456
2024-12-10,11,Tuesday,December,614,Train,S7,Zoologischer Garten,Alexanderplatz,0.614
2025-03-21,19,Friday,March,990,Train,S5,Südkreuz,Kottbusser Tor,0.99
2024-12-04,19,Wednesday,December,564,Metro,U7,Kottbusser Tor,Berlin Hauptbahnhof,0.94
2024-02-23,15,Friday,February,365,Metro,U7,Zoologischer Garten,Friedrichstraße,0.608
2024-02-13,10,Tuesday,February,416,Metro,U1,Kottbusser Tor,Potsdamer Platz,0.693
2024-10-24,10,Thursday,October,401,Metro,U1,Leopoldplatz,Südkreuz,0.668
2025-03-15,10,Saturday,March,143,Metro,U7,Hackescher Markt,Südkreuz,0.238
2024-06-12,10,Wednesday,June,244,Metro,U1,Hackescher Markt,Potsdamer Platz,0.407
2025-06-04,14,Wednesday,June,513,Train,S5,Potsdamer Platz,Friedrichstraße,0.513
2025-11-27,19,Thursday,November,52,Bus,X9,Hackescher Markt,Airport BER,0.867
2025-06-22,18,Sunday,June,316,Metro,U7,Berlin Hauptbahnhof,Alexanderplatz,0.527
2024-11-18,23,Monday,November,29,Bus,100,Friedrichstraße,Alexanderplatz,0.58
2024-09-01,23,Sunday,September,198,Train,S5,Kottbusser Tor,Berlin Hauptbahnhof,0.198
2024-03-13,10,Wednesday,March,378,Metro,U2,Zoologischer Garten,Kottbusser Tor,0.63
2025-07-15,7,Tuesday,July,145,Tram,M5,Berlin Hauptbahnhof,Airport BER,0.806
2024-02-03,18,Saturday,February,269,Metro,U2,Südkreuz,Warschauer Straße,0.448
2024-08-14,16,Wednesday,August,851,Train,S7,Südkreuz,Airport BER,0.851
2025-01-15,23,Wednesday,January,549,Train,S5,Ostkreuz,Warschauer Straße,0.549
2025-04-07,7,Monday,April,180,Tram,M1,Leopoldplatz,Airport BER,1.0
2025-06-03,10,Tuesday,June,393,Metro,U2,Leopoldplatz,Potsdamer Platz,0.655
2025-09-13,10,Saturday,September,347,Train,S5,Hackescher Markt,Südkreuz,0.347
2025-02-03,21,Monday,February,30,Bus,100,Ostkreuz,Zoologischer Garten,0.6
2024-01-15,13,Monday,January,154,Metro,U7,Ostkreuz,Südkreuz,0.257
2025-06-07,13,Saturday,June,366,Train,S5,Ostkreuz,Friedrichstraße,0.366
2025-10-02,16,Thursday,October,51,Bus,X9,Leopoldplatz,Ostkreuz,0.85
2025-08-13,13,Wednesday,August,126,Tram,M1,Leopoldplatz,Ostkreuz,0.7
2024-10-03,8,Thursday,October,72,Bus,M29,Ostkreuz,Leopoldplatz,0.9
2023-12-29,17,Friday,December,972,Train,S5,Friedrichstraße,Airport BER,0.972
2024-07-27,8,Saturday,July,318,Metro,U8,Friedrichstraße,Südkreuz,0.53
2025-06-30,12,Monday,June,148,Tram,M5,Airport BER,Südkreuz,0.822
2025-02-12,5,Wednesday,February,431,Metro,U1,Warschauer Straße,Südkreuz,0.718
2024-10-12,15,Saturday,October,243,Metro,U1,Ostkreuz,Berlin Hauptbahnhof,0.405
2025-05-08,11,Thursday,May,388,Metro,U7,Alexanderplatz,Südkreuz,0.647
2024-01-12,12,Friday,January,93,Tram,M1,Südkreuz,Friedrichstraße,0.517
2025-05-03,12,Saturday,May,269,Metro,U8,Leopoldplatz,Potsdamer Platz,0.448
2024-11-13,11,Wednesday,November,404,Train,S5,Alexanderplatz,Friedrichstraße,0.404
2024-09-18,12,Wednesday,September,308,Metro,U7,Berlin Hauptbahnhof,Airport BER,0.513
2024-02-17,7,Saturday,February,30,Bus,100,Zoologischer Garten,Friedrichstraße,0.6
2024-12-25,17,Wednesday,December,51,Bus,X9,Berlin Hauptbahnhof,Airport BER,0.85
2025-03-16,9,Sunday,March,456,Train,S41,Warschauer Straße,Hackescher Markt,0.456
2025-05-16,6,Friday,May,47,Bus,X9,Südkreuz,Ostkreuz,0.783
2025-05-29,10,Thursday,May,28,Bus,X9,Ostkreuz,Kottbusser Tor,0.467
2025-07-20,13,Sunday,July,27,Bus,100,Hackescher Markt,Zoologischer Garten,0.54
2024-10-13,18,Sunday,October,31,Bus,100,Friedrichstraße,Potsdamer Platz,0.62
2025-11-07,6,Friday,November,991,Train,S7,Alexanderplatz,Berlin Hauptbahnhof,0.991
2025-04-07,22,Monday,April,521,Train,S5,Alexanderplatz,Südkreuz,0.521
2025-12-04,13,Thursday,December,381,Metro,U7,Hackescher Markt,Airport BER,0.635
2024-08-09,9,Friday,August,600,Metro,U1,Leopoldplatz,Kottbusser Tor,1.0
2024-07-19,16,Friday,July,1000,Train,S7,Airport BER,Zoologischer Garten,1.0
2025-04-13,17,Sunday,April,296,Metro,U7,Ostkreuz,Potsdamer Platz,0.493
2023-12-09,8,Saturday,December,309,Train,S41,Hackescher Markt,Airport BER,0.309
2024-02-05,9,Monday,February,46,Bus,X9,Südkreuz,Zoologischer Garten,0.767
2025-08-15,10,Friday,August,120,Tram,M1,Ostkreuz,Südkreuz,0.667
2024-10-23,21,Wednesday,October,25,Bus,100,Ostkreuz,Potsdamer Platz,0.5
2024-06-03,19,Monday,June,498,Metro,U7,Ostkreuz,Airport BER,0.83
2025-09-10,18,Wednesday,September,78,Bus,M29,Friedrichstraße,Alexanderplatz,0.975
2024-09-09,22,Monday,September,84,Tram,M1,Leopoldplatz,Berlin Hauptbahnhof,0.467
2024-11-14,18,Thursday,November,807,Train,S5,Ostkreuz,Leopoldplatz,0.807
2025-10-18,20,Saturday,October,466,Train,S5,Südkreuz,Berlin Hauptbahnhof,0.466
2025-03-18,5,Tuesday,March,330,Metro,U2,Friedrichstraße,Leopoldplatz,0.55
2025-02-24,10,Monday,February,37,Bus,M29,Warschauer Straße,Hackescher Markt,0.462
2025-11-17,23,Monday,November,28,Bus,100,Hackescher Markt,Berlin Hauptbahnhof,0.56
2025-11-27,22,Thursday,November,42,Bus,M29,Warschauer Straße,Airport BER,0.525
2024-07-26,17,Friday,July,180,Tram,M5,Potsdamer Platz,Kottbusser Tor,1.0
2024-04-04,21,Thursday,April,97,Tram,M5,Hackescher Markt,Airport BER,0.539
2024-07-15,14,Monday,July,680,Train,S5,Alexanderplatz,Airport BER,0.68
2025-03-13,13,Thursday,March,38,Bus,X9,Leopoldplatz,Berlin Hauptbahnhof,0.633
2024-03-13,18,Wednesday,March,1000,Train,S5,Zoologischer Garten,Alexanderplatz,1.0
2025-02-14,22,Friday,February,47,Bus,X9,Berlin Hauptbahnhof,Airport BER,0.783
2024-07-12,21,Friday,July,270,Metro,U2,Hackescher Markt,Potsdamer Platz,0.45
2024-05-24,23,Friday,May,87,Tram,M1,Kottbusser Tor,Potsdamer Platz,0.483
2025-09-15,5,Monday,September,92,Tram,M1,Potsdamer Platz,Friedrichstraße,0.511
2025-11-24,20,Monday,November,597,Train,S41,Potsdamer Platz,Warschauer Straße,0.597
2024-06-09,8,Sunday,June,22,Bus,100,Südkreuz,Zoologischer Garten,0.44
2025-05-23,6,Friday,May,155,Tram,M5,Leopoldplatz,Potsdamer Platz,0.861
2025-11-15,14,Saturday,November,224,Train,S41,Potsdamer Platz,Berlin Hauptbahnhof,0.224
2025-09-14,18,Sunday,September,415,Train,S5,Leopoldplatz,Berlin Hauptbahnhof,0.415
2025-10-06,11,Monday,October,272,Metro,U7,Hackescher Markt,Südkreuz,0.453
2025-11-28,11,Friday,November,337,Train,S41,Friedrichstraße,Kottbusser Tor,0.337
2024-10-17,17,Thursday,October,600,Metro,U1,Potsdamer Platz,Hackescher Markt,1.0
2024-02-25,17,Sunday,February,634,Train,S41,Berlin Hauptbahnhof,Ostkreuz,0.634
2025-07-11,16,Friday,July,55,Bus,X9,Zoologischer Garten,Alexanderplatz,0.917
2025-07-12,9,Saturday,July,83,Tram,M1,Hackescher Markt,Airport BER,0.461
2025-06-28,12,Saturday,June,175,Metro,U7,Ostkreuz,Zoologischer Garten,0.292
2024-05-16,15,Thursday,May,45,Bus,M29,Leopoldplatz,Potsdamer Platz,0.562
2025-05-09,9,Friday,May,551,Metro,U7,Potsdamer Platz,Kottbusser Tor,0.918
2024-08-26,16,Monday,August,148,Tram,M5,Potsdamer Platz,Zoologischer Garten,0.822
2023-12-30,15,Saturday,December,217,Metro,U7,Südkreuz,Zoologischer Garten,0.362
2025-08-02,19,Saturday,August,434,Train,S7,Airport BER,Zoologischer Garten,0.434
2024-07-18,13,Thursday,July,335,Metro,U7,Warschauer Straße,Kottbusser Tor,0.558
2025-11-29,20,Saturday,November,29,Bus,M29,Berlin Hauptbahnhof,Hackescher Markt,0.362
2024-01-20,10,Saturday,January,16,Bus,100,Potsdamer Platz,Ostkreuz,0.32
2024-12-24,9,Tuesday,December,549,Metro,U2,Hackescher Markt,Südkreuz,0.915
2025-11-24,10,Monday,November,321,Metro,U2,Berlin Hauptbahnhof,Kottbusser Tor,0.535
2024-03-23,18,Saturday,March,405,Train,S7,Warschauer Straße,Airport BER,0.405
2023-12-09,19,Saturday,December,311,Metro,U2,Alexanderplatz,Friedrichstraße,0.518
2023-12-18,8,Monday,December,461,Metro,U7,Kottbusser Tor,Ostkreuz,0.768
2025-04-25,8,Friday,April,555,Metro,U7,Hackescher Markt,Airport BER,0.925
2025-11-03,13,Monday,November,306,Metro,U8,Alexanderplatz,Zoologischer Garten,0.51
2024-03-20,8,Wednesday,March,599,Metro,U2,Alexanderplatz,Kottbusser Tor,0.998
2024-11-11,18,Monday,November,180,Tram,M1,Zoologischer Garten,Leopoldplatz,1.0
2025-01-16,17,Thursday,January,479,Metro,U7,Südkreuz,Ostkreuz,0.798
2024-07-31,8,Wednesday,July,978,Train,S5,Kottbusser Tor,Warschauer Straße,0.978
2025-06-29,7,Sunday,June,28,Bus,100,Alexanderplatz,Zoologischer Garten,0.56
2025-10-04,16,Saturday,October,88,Tram,M1,Friedrichstraße,Warschauer Straße,0.489
2024-01-30,9,Tuesday,January,69,Bus,M29,Potsdamer Platz,Berlin Hauptbahnhof,0.862
2024-05-02,23,Thursday,May,376,Train,S41,Zoologischer Garten,Alexanderplatz,0.376
2024-05-26,15,Sunday,May,335,Train,S7,Alexanderplatz,Südkreuz,0.335
2024-10-02,17,Wednesday,October,48,Bus,100,Leopoldplatz,Warschauer Straße,0.96
2024-12-06,8,Friday,December,531,Metro,U2,Airport BER,Südkreuz,0.885
2025-02-16,17,Sunday,February,21,Bus,100,Airport BER,Leopoldplatz,0.42
2025-05-17,9,Saturday,May,81,Tram,M5,Zoologischer Garten,Berlin Hauptbahnhof,0.45
2024-01-06,17,Saturday,January,487,Train,S7,Hackescher Markt,Warschauer Straße,0.487
2024-08-07,9,Wednesday,August,1000,Train,S41,Potsdamer Platz,Leopoldplatz,1.0
2024-10-12,6,Saturday,October,253,Metro,U1,Hackescher Markt,Zoologischer Garten,0.422
2024-03-31,15,Sunday,March,16,Bus,100,Potsdamer Platz,Berlin Hauptbahnhof,0.32
2024-12-13,8,Friday,December,479,Metro,U7,Kottbusser Tor,Alexanderplatz,0.798
2025-10-10,16,Friday,October,514,Metro,U8,Warschauer Straße,Leopoldplatz,0.857
2023-12-25,10,Monday,December,368,Metro,U2,Hackescher Markt,Alexanderplatz,0.613
2025-08-02,18,Saturday,August,525,Train,S41,Berlin Hauptbahnhof,Zoologischer Garten,0.525
2024-09-07,9,Saturday,September,37,Bus,M29,Warschauer Straße,Hackescher Markt,0.462
2025-03-18,6,Tuesday,March,42,Bus,100,Berlin Hauptbahnhof,Zoologischer Garten,0.84
2024-05-28,18,Tuesday,May,764,Train,S41,Potsdamer Platz,Alexanderplatz,0.764
