Date,Time_Hour,Temperature_C,Weather_Condition,Season,Humidity_Percent,Wind_Speed_kmh,Precipitation_mm,Pressure_hPa,Visibility_km
2023-01-03,21,13.3,Partly Cloudy,Winter,63,7.9,0.0,985.97,12.2
2023-01-03,22,13.9,Partly Cloudy,Winter,34,15.2,0.3,1015.02,23.3
2023-01-03,23,15.1,Rainy,Winter,51,19.9,3.7,1006.17,8.0
2023-01-04,0,18.6,Partly Cloudy,Winter,43,23.3,0.0,1024.98,7.3
2023-01-04,1,17.2,Sunny,Winter,47,17.4,0.0,1021.16,17.3
2023-01-04,2,21.5,Clear,Winter,35,13.9,0.1,1004.29,20.3
2023-01-04,3,21.5,Thunderstorms,Winter,45,38.0,5.5,1014.81,11.6
2023-01-04,4,21.0,Thunderstorms,Winter,32,16.1,2.6,1006.68,17.0
2023-01-04,5,19.0,Sunny,Winter,54,23.8,0.0,998.09,13.2
2023-01-04,6,18.6,Sunny,Winter,49,8.8,0.0,1020.79,16.8
2023-01-04,7,18.6,Rainy,Winter,43,16.2,4.0,1005.18,1.0
2023-01-04,8,21.9,Thunderstorms,Winter,50,12.5,1.1,1021.86,11.0
2023-01-04,9,21.8,Clear,Winter,33,9.7,0.1,1019.58,16.6
2023-01-04,10,15.4,Partly Cloudy,Winter,45,4.8,0.0,1017.87,11.0
2023-01-04,11,16.2,Sunny,Winter,61,4.3,0.0,1010.36,9.9
2023-01-04,12,15.0,Sunny,Winter,53,10.8,0.0,1000.11,18.5
2023-01-04,13,11.8,Rainy,Winter,60,23.1,0.5,1023.4,14.0
2023-01-04,14,10.1,Partly Cloudy,Winter,76,19.8,0.2,1015.95,22.3
2023-01-04,15,10.7,Sunny,Winter,50,17.3,0.4,1015.09,7.9
2023-01-04,16,9.0,Cloudy,Winter,49,8.4,0.8,997.78,20.8
2023-01-04,17,11.6,Rainy,Winter,63,5.7,0.0,1003.32,1.0
2023-01-04,18,12.4,Sunny,Winter,31,16.6,0.0,1020.1,17.2
2023-01-04,19,12.8,Sunny,Winter,78,14.7,1.0,1018.48,14.3
2023-01-04,20,12.0,Sunny,Winter,50,12.9,0.0,1008.88,16.4
2023-01-04,21,12.7,Partly Cloudy,Winter,37,17.3,0.4,1018.23,18.6
2023-01-04,22,12.1,Rainy,Winter,42,6.4,0.0,1015.99,10.2
2023-01-04,23,14.6,Partly Cloudy,Winter,66,23.7,0.0,1020.82,13.6
2023-01-05,0,15.1,Rainy,Winter,61,12.3,2.3,1008.92,10.3
2023-01-05,1,15.7,Rainy,Winter,44,17.7,0.6,1028.5,7.7
2023-01-05,2,18.8,Partly Cloudy,Winter,49,3.8,0.0,1014.73,8.1
2023-01-05,3,17.6,Partly Cloudy,Winter,56,15.6,0.0,1002.06,21.8
2023-01-05,4,19.1,Partly Cloudy,Winter,54,26.6,0.0,1007.91,13.9
2023-01-05,5,19.6,Sunny,Winter,37,11.7,0.0,1006.64,19.6
2023-01-05,6,22.0,Sunny,Winter,36,16.6,0.6,1015.15,12.2
2023-01-05,7,18.7,Rainy,Winter,42,17.6,6.0,1011.89,9.6
2023-01-05,8,19.0,Partly Cloudy,Winter,47,0.0,1.0,1009.62,20.0
2023-01-05,9,19.1,Sunny,Winter,43,22.3,0.5,1004.34,18.7
2023-01-05,10,17.8,Sunny,Winter,38,23.7,0.0,1023.64,15.1
2023-01-05,11,19.6,Sunny,Winter,52,10.7,0.0,1023.86,14.5
2023-01-05,12,14.4,Sunny,Winter,60,30.3,0.0,1012.42,17.6
2023-01-05,13,16.3,Rainy,Winter,49,20.1,1.8,1009.78,10.0
2023-01-05,14,12.8,Partly Cloudy,Winter,53,27.4,0.0,1006.58,16.1
2023-01-05,15,10.1,Rainy,Winter,70,7.0,0.0,1014.65,16.8
2023-01-05,16,12.1,Rainy,Winter,48,5.3,8.6,1033.67,1.0
2023-01-05,17,10.8,Rainy,Winter,48,9.6,2.3,1017.79,17.4
2023-01-05,18,10.0,Sunny,Winter,57,8.3,0.0,1001.39,13.9
2023-01-05,19,11.4,Sunny,Winter,47,28.6,0.5,1022.52,23.0
2023-01-05,20,10.1,Sunny,Winter,35,4.9,0.4,1026.57,10.7
2023-01-05,21,12.0,Sunny,Winter,64,22.6,0.2,1019.95,14.0
2023-01-05,22,12.0,Rainy,Winter,71,3.3,5.0,1012.01,8.8
2023-01-05,23,13.7,Sunny,Winter,63,21.8,0.0,1024.05,15.8
2023-01-06,0,17.1,Partly Cloudy,Winter,36,22.3,0.0,1033.08,10.7
2023-01-06,1,17.7,Sunny,Winter,52,21.9,0.0,1016.67,16.2
2023-01-06,2,19.9,Partly Cloudy,Winter,33,13.9,0.2,1012.43,15.3
2023-01-06,3,21.4,Clear,Winter,25,13.4,0.1,1019.08,13.8
2023-01-06,4,19.4,Rainy,Winter,53,0.8,8.0,1011.09,6.1
2023-01-06,5,22.4,Sunny,Winter,39,11.8,0.0,1009.31,14.4
2023-01-06,6,22.5,Clear,Winter,38,20.7,0.2,1034.4,12.6
2023-01-06,7,25.0,Clear,Winter,28,29.3,0.0,1008.82,20.5
2023-01-06,8,20.2,Thunderstorms,Winter,32,22.4,2.2,1018.34,13.5
2023-01-06,9,20.2,Sunny,Winter,54,9.2,0.0,1027.58,13.4
2023-01-06,10,21.3,Clear,Winter,39,21.5,0.1,1029.32,7.1
2023-01-06,11,16.2,Sunny,Winter,35,28.3,0.0,1018.97,18.6
2023-01-06,12,16.7,Sunny,Winter,52,7.9,0.0,1009.71,7.3
2023-01-06,13,18.4,Rainy,Winter,48,20.9,6.5,1041.07,5.8
2023-01-06,14,14.6,Partly Cloudy,Winter,61,14.1,0.2,1019.87,20.1
2023-01-06,15,12.5,Rainy,Winter,52,22.3,0.1,1009.44,3.7
2023-01-06,16,13.0,Partly Cloudy,Winter,47,23.3,0.8,988.77,17.2
2023-01-06,17,7.2,Cloudy,Winter,55,11.7,0.0,1024.41,15.8
2023-01-06,18,10.8,Sunny,Winter,60,18.1,0.2,1030.54,13.5
2023-01-06,19,13.1,Partly Cloudy,Winter,62,20.9,0.0,1020.75,6.9
2023-01-06,20,11.8,Sunny,Winter,55,7.9,0.4,1010.32,17.3
2023-01-06,21,12.5,Partly Cloudy,Winter,61,19.0,0.0,1005.6,17.0
2023-01-06,22,11.5,Sunny,Winter,42,3.0,0.3,1020.42,13.2
2023-01-06,23,18.8,Partly Cloudy,Winter,33,2.3,0.0,1012.05,14.4
2023-01-07,0,16.1,Partly Cloudy,Winter,57,18.3,0.0,1012.75,10.6
2023-01-07,1,18.1,Sunny,Winter,37,17.3,0.5,1014.1,17.1
2023-01-07,2,15.6,Rainy,Winter,40,21.6,0.0,1010.57,9.3
2023-01-07,3,20.5,Thunderstorms,Winter,51,11.8,5.9,1001.66,12.6
2023-01-07,4,21.6,Clear,Winter,36,18.1,0.6,1008.39,18.6
2023-01-07,5,24.2,Clear,Winter,34,9.2,0.0,1016.96,21.8
2023-01-07,6,22.6,Sunny,Winter,41,14.0,0.1,1011.02,17.5
2023-01-07,7,21.6,Clear,Winter,23,12.5,0.0,1008.46,13.5
2023-01-07,8,23.1,Clear,Winter,27,12.7,0.0,1022.72,15.9
2023-01-07,9,19.9,Partly Cloudy,Winter,30,10.0,0.3,1022.47,18.4
2023-01-07,10,18.5,Sunny,Winter,49,2.2,0.0,1011.3,10.8
2023-01-07,11,15.8,Rainy,Winter,54,17.6,5.8,999.07,1.1
2023-01-07,12,16.4,Partly Cloudy,Winter,44,13.3,0.1,1013.57,9.5
2023-01-07,13,17.9,Rainy,Winter,31,7.1,2.7,1012.5,10.8
2023-01-07,14,11.7,Sunny,Winter,43,13.9,0.3,1011.31,10.9
2023-01-07,15,11.3,Partly Cloudy,Winter,58,8.8,0.5,1026.19,19.3
2023-01-07,16,12.1,Sunny,Winter,53,26.2,0.6,1015.84,28.9
2023-01-07,17,13.2,Rainy,Winter,65,22.0,11.7,1002.75,5.8
2023-01-07,18,12.4,Partly Cloudy,Winter,67,32.6,0.2,1026.52,23.2
2023-01-07,19,11.5,Sunny,Winter,58,20.6,0.0,1019.8,14.4
2023-01-07,20,9.9,Fog,Winter,56,19.5,0.0,1021.69,0.1
2023-01-07,21,13.5,Sunny,Winter,54,14.5,0.1,1001.28,8.2
2023-01-07,22,16.6,Partly Cloudy,Winter,54,21.3,0.0,1010.88,13.7
2023-01-07,23,12.2,Rainy,Winter,40,5.8,5.5,1023.7,1.0
2023-01-08,0,15.8,Rainy,Winter,57,12.6,0.0,1006.55,11.6
2023-01-08,1,17.2,Sunny,Winter,43,4.2,0.5,1015.24,18.7
2023-01-08,2,20.1,Clear,Winter,41,25.8,0.1,1023.3,18.6
2023-01-08,3,17.9,Rainy,Winter,39,22.9,0.0,994.76,6.2
2023-01-08,4,20.0,Sunny,Winter,41,15.6,0.0,1009.21,24.7
2023-01-08,5,25.9,Thunderstorms,Winter,20,14.6,2.1,1018.65,25.4
2023-01-08,6,18.1,Partly Cloudy,Winter,64,17.9,0.0,1008.83,22.1
2023-01-08,7,19.6,Partly Cloudy,Winter,31,33.0,0.0,1014.86,16.2
2023-01-08,8,22.2,Sunny,Winter,43,13.4,0.2,1006.12,9.9
2023-01-08,9,21.4,Thunderstorms,Winter,33,12.5,0.9,1039.24,20.6
2023-01-08,10,18.9,Rainy,Winter,38,19.4,8.7,1021.46,10.7
2023-01-08,11,18.6,Partly Cloudy,Winter,44,10.6,1.3,1025.75,11.0
2023-01-08,12,18.4,Rainy,Winter,42,12.3,8.1,1009.94,10.5
2023-01-08,13,17.4,Rainy,Winter,34,22.4,1.4,1018.39,4.8
2023-01-08,14,12.2,Sunny,Winter,44,6.8,0.0,985.94,15.8
2023-01-08,15,12.5,Rainy,Winter,68,18.8,6.3,1010.02,9.6
2023-01-08,16,13.6,Rainy,Winter,58,19.8,1.9,1007.91,3.1
2023-01-08,17,13.3,Partly Cloudy,Winter,69,6.9,0.0,994.81,16.7
2023-01-08,18,8.4,Fog,Winter,52,25.4,0.0,1024.88,0.1
2023-01-08,19,14.8,Partly Cloudy,Winter,53,19.7,0.0,998.25,15.0
2023-01-08,20,12.5,Rainy,Winter,50,11.1,2.4,1016.86,10.4
2023-01-08,21,11.2,Rainy,Winter,68,14.7,0.0,996.92,10.0
2023-01-08,22,12.2,Sunny,Winter,44,13.9,0.1,1020.53,17.8
2023-01-08,23,14.2,Sunny,Winter,58,13.1,0.9,1017.63,13.3
2023-01-09,0,17.9,Rainy,Winter,59,35.6,0.8,1024.31,10.7
2023-01-09,1,16.5,Sunny,Winter,57,10.6,0.7,1011.79,13.2
2023-01-09,2,18.9,Partly Cloudy,Winter,23,14.0,0.0,1004.69,14.7
2023-01-09,3,17.1,Rainy,Winter,52,18.5,5.6,1011.07,5.9
2023-01-09,4,18.5,Rainy,Winter,39,13.3,1.1,1011.92,6.0
2023-01-09,5,22.6,Sunny,Winter,20,0.2,0.0,1020.58,11.7
2023-01-09,6,19.7,Rainy,Winter,57,18.5,6.5,1021.35,1.0
2023-01-09,7,19.5,Rainy,Winter,44,30.3,4.2,1030.46,2.3
2023-01-09,8,18.9,Sunny,Winter,50,21.6,0.0,1027.9,15.1
2023-01-09,9,19.5,Sunny,Winter,37,25.2,0.1,1012.42,19.0
2023-01-09,10,20.8,Clear,Winter,42,13.4,0.0,1017.97,13.7
2023-01-09,11,16.3,Partly Cloudy,Winter,43,24.0,0.9,1017.83,17.8
2023-01-09,12,14.0,Rainy,Winter,44,14.5,3.3,1012.36,8.5
2023-01-09,13,10.8,Rainy,Winter,47,24.1,3.6,1003.36,4.6
2023-01-09,14,16.9,Sunny,Winter,53,11.5,0.1,1003.75,15.6
2023-01-09,15,14.1,Sunny,Winter,50,12.8,0.0,1012.37,8.3
2023-01-09,16,15.3,Sunny,Winter,47,19.7,0.0,1000.98,10.5
2023-01-09,17,11.0,Partly Cloudy,Winter,60,30.0,0.0,1019.48,13.3
2023-01-09,18,10.6,Sunny,Winter,69,18.8,0.7,1023.18,14.0
2023-01-09,19,11.6,Partly Cloudy,Winter,58,17.5,0.6,1007.41,5.0
2023-01-09,20,9.6,Fog,Winter,54,27.1,1.3,1035.84,0.9
2023-01-09,21,11.9,Sunny,Winter,54,15.9,0.4,1016.45,7.1
2023-01-09,22,13.9,Sunny,Winter,36,10.0,0.3,1030.3,5.0
2023-01-09,23,13.9,Sunny,Winter,47,19.6,0.0,1007.72,9.0
2023-01-10,0,18.7,Sunny,Winter,49,0.0,0.9,999.36,23.6
2023-01-10,1,19.1,Partly Cloudy,Winter,43,6.1,0.0,1020.31,13.4
2023-01-10,2,17.6,Sunny,Winter,41,16.1,0.0,1016.01,22.9
2023-01-10,3,22.2,Clear,Winter,38,11.8,0.3,1019.21,8.2
2023-01-10,4,22.5,Sunny,Winter,45,24.0,0.1,995.87,17.2
2023-01-10,5,20.8,Thunderstorms,Winter,25,17.8,3.2,1026.06,11.0
2023-01-10,6,22.5,Sunny,Winter,47,7.9,0.0,1010.18,14.5
2023-01-10,7,22.6,Sunny,Winter,35,24.6,0.3,1006.43,15.5
2023-01-10,8,20.5,Sunny,Winter,37,11.8,0.0,997.91,16.9
2023-01-10,9,20.4,Thunderstorms,Winter,51,17.7,2.7,1021.35,15.4
2023-01-10,10,20.8,Thunderstorms,Winter,32,2.8,0.0,1016.09,14.1
2023-01-10,11,17.7,Partly Cloudy,Winter,35,9.4,0.3,1027.01,20.1
2023-01-10,12,17.7,Rainy,Winter,54,1.7,3.1,1025.22,10.5
2023-01-10,13,16.7,Partly Cloudy,Winter,38,17.2,0.0,1021.35,8.9
2023-01-10,14,15.7,Partly Cloudy,Winter,63,16.7,0.7,1015.12,15.9
2023-01-10,15,14.6,Partly Cloudy,Winter,43,21.2,0.0,1006.21,18.9
2023-01-10,16,15.1,Partly Cloudy,Winter,33,7.6,1.2,1014.73,14.6
2023-01-10,17,10.5,Sunny,Winter,44,19.5,1.0,1013.42,20.0
2023-01-10,18,13.0,Partly Cloudy,Winter,57,10.0,0.1,1021.22,17.5
2023-01-10,19,11.4,Rainy,Winter,73,27.6,8.3,1027.44,5.5
2023-01-10,20,14.1,Sunny,Winter,53,0.1,0.0,1016.42,19.4
2023-01-10,21,14.7,Partly Cloudy,Winter,57,17.2,0.5,1022.66,16.9
2023-01-10,22,11.6,Sunny,Winter,59,26.8,0.0,1008.24,20.9
2023-01-10,23,17.7,Rainy,Winter,49,23.3,4.8,1022.02,10.6
2023-01-11,0,16.9,Rainy,Winter,34,16.0,3.7,1017.44,5.3
2023-01-11,1,17.7,Rainy,Winter,48,22.8,0.0,1027.92,8.9
2023-01-11,2,20.7,Thunderstorms,Winter,41,22.6,0.6,1003.06,9.0
2023-01-11,3,21.7,Sunny,Winter,36,17.5,0.5,1011.24,14.3
2023-01-11,4,21.8,Clear,Winter,40,15.1,0.5,1030.37,9.5
2023-01-11,5,22.6,Sunny,Winter,36,4.7,0.5,1017.02,22.6
2023-01-11,6,25.7,Thunderstorms,Winter,26,23.7,2.7,1009.32,5.0
2023-01-11,7,21.7,Sunny,Winter,39,28.8,0.1,1016.9,12.9
2023-01-11,8,22.5,Clear,Winter,20,8.4,0.3,1020.5,19.5
2023-01-11,9,16.7,Rainy,Winter,39,0.0,4.2,1026.79,5.3
2023-01-11,10,20.5,Thunderstorms,Winter,52,9.9,0.0,1010.99,5.0
2023-01-11,11,19.7,Partly Cloudy,Winter,46,0.0,0.1,1022.14,6.2
2023-01-11,12,16.9,Rainy,Winter,30,0.0,0.2,1027.11,7.8
2023-01-11,13,14.6,Rainy,Winter,54,26.0,0.0,996.11,3.8
2023-01-11,14,14.5,Rainy,Winter,39,16.2,3.8,1017.37,1.5
2023-01-11,15,14.9,Partly Cloudy,Winter,39,5.0,0.5,1008.6,13.6
2023-01-11,16,17.5,Sunny,Winter,33,19.9,0.2,1007.54,10.8
2023-01-11,17,15.7,Sunny,Winter,42,20.9,0.2,1015.84,12.7
2023-01-11,18,11.5,Rainy,Winter,68,20.1,2.1,999.98,7.7
2023-01-11,19,14.8,Rainy,Winter,51,9.5,1.5,1024.18,9.0
2023-01-11,20,14.2,Partly Cloudy,Winter,43,28.3,0.2,1016.25,20.7
2023-01-11,21,14.5,Partly Cloudy,Winter,61,3.7,0.3,1004.71,20.3
2023-01-11,22,17.5,Partly Cloudy,Winter,36,13.3,0.5,1007.61,11.5
2023-01-11,23,16.4,Partly Cloudy,Winter,42,12.0,0.0,1026.77,15.6
2023-01-12,0,16.0,Rainy,Winter,32,0.1,0.0,1015.64,6.1
2023-01-12,1,19.8,Sunny,Winter,40,4.8,0.0,993.43,20.9
2023-01-12,2,22.0,Thunderstorms,Winter,20,18.0,1.0,1011.96,19.6
2023-01-12,3,22.6,Thunderstorms,Winter,43,5.5,2.2,1028.41,10.5
2023-01-12,4,20.2,Thunderstorms,Winter,56,22.6,1.9,1006.87,7.8
2023-01-12,5,21.8,Sunny,Winter,59,20.7,0.0,1004.45,18.9
2023-01-12,6,22.7,Thunderstorms,Winter,31,15.8,6.4,1009.16,12.0
2023-01-12,7,25.9,Clear,Winter,40,11.5,0.8,1015.4,15.0
2023-01-12,8,26.6,Sunny,Winter,35,25.5,0.0,1006.41,19.3
2023-01-12,9,20.6,Sunny,Winter,45,5.4,0.0,1003.32,20.5
2023-01-12,10,20.7,Sunny,Winter,43,18.8,0.0,1008.83,5.5
2023-01-12,11,21.0,Sunny,Winter,48,12.1,0.4,1020.37,9.2
2023-01-12,12,20.5,Sunny,Winter,50,12.7,0.0,1008.63,9.2
2023-01-12,13,18.4,Sunny,Winter,53,18.9,0.0,1012.16,18.5
2023-01-12,14,15.9,Partly Cloudy,Winter,52,15.9,0.6,1035.16,18.7
2023-01-12,15,13.8,Sunny,Winter,52,11.5,0.2,1026.11,15.4
2023-01-12,16,14.6,Sunny,Winter,68,17.3,0.8,999.06,11.7
2023-01-12,17,13.6,Rainy,Winter,68,10.6,7.0,1006.7,6.2
2023-01-12,18,13.0,Rainy,Winter,47,16.0,4.9,1002.91,2.0
2023-01-12,19,10.3,Sunny,Winter,44,5.4,0.0,1004.11,22.0
2023-01-12,20,11.1,Rainy,Winter,66,26.1,1.7,1014.55,6.2
2023-01-12,21,16.0,Rainy,Winter,50,8.9,6.0,1029.28,21.2
2023-01-12,22,16.6,Partly Cloudy,Winter,52,23.6,0.0,1000.01,12.0
2023-01-12,23,14.2,Sunny,Winter,63,26.9,0.2,1021.68,11.7
2023-01-13,0,18.6,Sunny,Winter,59,11.6,0.6,1019.08,8.2
2023-01-13,1,22.3,Clear,Winter,20,22.0,0.5,1008.77,7.2
2023-01-13,2,19.7,Sunny,Winter,48,20.5,0.0,1012.64,14.9
2023-01-13,3,19.4,Rainy,Winter,38,10.7,3.4,1022.37,10.1
2023-01-13,4,24.2,Sunny,Winter,37,13.9,0.1,1000.35,17.8
2023-01-13,5,23.2,Sunny,Winter,26,10.2,0.2,1007.61,9.6
2023-01-13,6,24.7,Clear,Winter,30,4.6,1.3,1015.65,20.6
2023-01-13,7,23.9,Clear,Winter,34,19.3,0.1,1014.02,12.1
2023-01-13,8,26.0,Thunderstorms,Winter,20,17.0,0.0,995.47,15.3
2023-01-13,9,20.2,Clear,Winter,36,15.3,0.1,1016.62,22.8
2023-01-13,10,19.3,Rainy,Winter,63,18.4,2.1,1011.6,10.2
2023-01-13,11,22.1,Clear,Winter,20,18.3,0.8,1015.83,7.6
2023-01-13,12,19.8,Sunny,Winter,33,3.7,0.0,1019.51,15.0
2023-01-13,13,17.4,Rainy,Winter,56,23.3,3.9,1019.52,9.9
2023-01-13,14,14.2,Sunny,Winter,54,19.5,0.4,1014.21,19.7
2023-01-13,15,15.9,Partly Cloudy,Winter,45,8.1,0.7,1006.27,10.5
2023-01-13,16,14.4,Partly Cloudy,Winter,53,22.5,0.0,1016.07,22.3
2023-01-13,17,8.6,Cloudy,Winter,62,15.4,0.1,1005.74,11.2
2023-01-13,18,16.6,Sunny,Winter,65,11.5,0.3,1016.41,19.4
2023-01-13,19,13.7,Partly Cloudy,Winter,59,12.7,0.2,1005.26,15.0
2023-01-13,20,12.1,Sunny,Winter,49,0.0,0.5,1021.14,24.7
2023-01-13,21,15.0,Partly Cloudy,Winter,51,0.0,0.0,1010.95,14.5
2023-01-13,22,16.7,Partly Cloudy,Winter,61,0.0,0.0,999.39,15.4
2023-01-13,23,15.5,Sunny,Winter,55,16.2,0.0,1006.49,18.5
2023-01-14,0,18.1,Partly Cloudy,Winter,48,25.5,0.3,1012.23,11.8
2023-01-14,1,19.6,Rainy,Winter,43,12.4,3.4,1009.29,10.9
2023-01-14,2,22.5,Clear,Winter,27,6.4,0.5,1006.86,13.9
2023-01-14,3,22.4,Thunderstorms,Winter,40,38.6,8.3,1014.88,13.0
2023-01-14,4,21.2,Thunderstorms,Winter,28,12.4,0.0,1018.96,8.9
2023-01-14,5,22.0,Sunny,Winter,52,14.6,0.4,1011.9,12.6
2023-01-14,6,25.2,Thunderstorms,Winter,34,11.7,9.2,1016.24,18.2
2023-01-14,7,24.2,Sunny,Winter,42,6.7,0.3,1005.38,18.1
2023-01-14,8,20.3,Sunny,Winter,29,24.4,0.0,1015.89,14.6
2023-01-14,9,17.5,Sunny,Winter,33,17.4,0.0,1019.21,8.3
2023-01-14,10,18.2,Rainy,Winter,48,13.1,0.0,1010.28,9.4
2023-01-14,11,18.6,Partly Cloudy,Winter,44,24.9,0.0,1034.26,19.0
2023-01-14,12,18.5,Sunny,Winter,36,12.5,0.3,997.8,12.0
2023-01-14,13,15.7,Rainy,Winter,57,19.5,6.1,1004.93,14.7
2023-01-14,14,15.6,Rainy,Winter,51,13.9,0.0,1007.06,10.1
2023-01-14,15,14.7,Rainy,Winter,38,22.1,1.6,1014.62,5.0
2023-01-14,16,10.4,Partly Cloudy,Winter,49,11.4,0.1,1029.36,20.4
